"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",0.254805398886777,25.4805398886777,25.4805398886777
"Dim.2",0.111731151091829,11.1731151091828,36.6536549978605
"Dim.3",0.0586428540490011,5.86428540490011,42.5179404027606
"Dim.4",0.0502985942421651,5.02985942421651,47.5477998269771
"Dim.5",0.0361056801731012,3.61056801731012,51.1583678442872
"Dim.6",0.0315325416091789,3.15325416091789,54.3116220052051
"Dim.7",0.0304900502038143,3.04900502038142,57.3606270255866
"Dim.8",0.0221477091144735,2.21477091144735,59.5753979370339
"Dim.9",0.0206759292861672,2.06759292861671,61.6429908656506
"Dim.10",0.0188140967761489,1.88140967761489,63.5244005432655
"Dim.11",0.0183959510097828,1.83959510097828,65.3639956442438
"Dim.12",0.0164026776017492,1.64026776017492,67.0042634044187
"Dim.13",0.0156599272662402,1.56599272662401,68.5702561310427
"Dim.14",0.0134803911026843,1.34803911026843,69.9182952413111
"Dim.15",0.0128024053133241,1.28024053133241,71.1985357726436
"Dim.16",0.0120449719413754,1.20449719413753,72.4030329667811
"Dim.17",0.0109758124546004,1.09758124546004,73.5006142122411
"Dim.18",0.0107910847447498,1.07910847447498,74.5797226867161
"Dim.19",0.01040399374333,1.040399374333,75.6201220610491
"Dim.20",0.0101232592520756,1.01232592520756,76.6324479862567
"Dim.21",0.00940106723713597,0.940106723713596,77.5725547099703
"Dim.22",0.00887120949447951,0.88712094944795,78.4596756594182
"Dim.23",0.00858002938633728,0.858002938633727,79.3176785980519
"Dim.24",0.00828689357869888,0.828689357869887,80.1463679559218
"Dim.25",0.00798406895352293,0.798406895352293,80.9447748512741
"Dim.26",0.00761334653693131,0.76133465369313,81.7061095049673
"Dim.27",0.00754803757252691,0.754803757252691,82.4609132622199
"Dim.28",0.00728429771169381,0.72842977116938,83.1893430333893
"Dim.29",0.00694196049474591,0.69419604947459,83.8835390828639
"Dim.30",0.00680642974198691,0.680642974198691,84.5641820570626
"Dim.31",0.00663490000670597,0.663490000670596,85.2276720577332
"Dim.32",0.00642697351966746,0.642697351966746,85.8703694096999
"Dim.33",0.00616021739490745,0.616021739490744,86.4863911491907
"Dim.34",0.00611940175442465,0.611940175442464,87.0983313246332
"Dim.35",0.00580366034952889,0.580366034952888,87.678697359586
"Dim.36",0.00563080223958033,0.563080223958033,88.2417775835441
"Dim.37",0.00544586969860804,0.544586969860804,88.7863645534049
"Dim.38",0.00532725163630519,0.532725163630519,89.3190897170354
"Dim.39",0.00503311494793643,0.503311494793643,89.822401211829
"Dim.40",0.00495377322106033,0.495377322106033,90.3177785339351
"Dim.41",0.00481413627951146,0.481413627951145,90.7991921618862
"Dim.42",0.00469424040141338,0.469424040141338,91.2686162020276
"Dim.43",0.00460546030208382,0.460546030208381,91.7291622322359
"Dim.44",0.0044707890267742,0.44707890267742,92.1762411349134
"Dim.45",0.00430052397595457,0.430052397595456,92.6062935325088
"Dim.46",0.00411652758162208,0.411652758162207,93.017946290671
"Dim.47",0.00399016304358435,0.399016304358434,93.4169625950295
"Dim.48",0.00392760001717264,0.392760001717264,93.8097225967467
"Dim.49",0.00390276200659925,0.390276200659924,94.1999987974066
"Dim.50",0.00373874591248628,0.373874591248628,94.5738733886553
"Dim.51",0.00367145846138158,0.367145846138157,94.9410192347934
"Dim.52",0.00359908356629577,0.359908356629577,95.300927591423
"Dim.53",0.00353361187038665,0.353361187038665,95.6542887784617
"Dim.54",0.00331887257299558,0.331887257299558,95.9861760357612
"Dim.55",0.00318785885115282,0.318785885115282,96.3049619208765
"Dim.56",0.00313887968642661,0.313887968642661,96.6188498895192
"Dim.57",0.0030328400075031,0.30328400075031,96.9221338902695
"Dim.58",0.00300207728690098,0.300207728690097,97.2223416189596
"Dim.59",0.00290563150092832,0.290563150092832,97.5129047690524
"Dim.60",0.00271273588178388,0.271273588178388,97.7841783572308
"Dim.61",0.00246447236390071,0.246447236390071,98.0306255936209
"Dim.62",0.00223096332440395,0.223096332440395,98.2537219260613
"Dim.63",0.0022078461939769,0.22078461939769,98.474506545459
"Dim.64",0.00210035449230808,0.210035449230808,98.6845419946898
"Dim.65",0.00191042578560869,0.191042578560869,98.8755845732506
"Dim.66",0.00180857191206457,0.180857191206457,99.0564417644571
"Dim.67",0.00167886931018164,0.167886931018163,99.2243286954753
"Dim.68",0.00159368133354609,0.159368133354609,99.3836968288299
"Dim.69",0.00136529011559648,0.136529011559648,99.5202258403895
"Dim.70",0.00122932082829341,0.122932082829341,99.6431579232189
"Dim.71",0.000940166676269685,0.0940166676269684,99.7371745908458
"Dim.72",0.000685323174673398,0.0685323174673397,99.8057069083132
"Dim.73",0.000570375185716717,0.0570375185716717,99.8627444268848
"Dim.74",0.000519432377687886,0.0519432377687885,99.9146876646536
"Dim.75",0.000409787358569169,0.0409787358569169,99.9556664005105
"Dim.76",0.000292435110717548,0.0292435110717548,99.9849099115823
"Dim.77",0.000150900884177102,0.0150900884177102,100
