from,to,value
node_1,node_1,NaN
node_2,node_1,NaN
node_3,node_1,NaN
node_4,node_1,NaN
node_5,node_1,NaN
node_6,node_1,NaN
node_7,node_1,NaN
node_8,node_1,NaN
node_9,node_1,NaN
node_10,node_1,NaN
node_11,node_1,NaN
node_12,node_1,NaN
node_13,node_1,NaN
node_14,node_1,NaN
node_15,node_1,NaN
node_16,node_1,NaN
node_17,node_1,NaN
node_18,node_1,NaN
node_19,node_1,NaN
node_20,node_1,NaN
node_21,node_1,NaN
node_22,node_1,NaN
node_23,node_1,NaN
node_24,node_1,NaN
node_25,node_1,NaN
node_26,node_1,NaN
node_27,node_1,NaN
node_28,node_1,NaN
node_29,node_1,NaN
node_30,node_1,NaN
node_31,node_1,NaN
node_32,node_1,NaN
node_33,node_1,NaN
node_34,node_1,NaN
node_35,node_1,NaN
node_36,node_1,NaN
node_37,node_1,NaN
node_38,node_1,NaN
node_39,node_1,NaN
node_40,node_1,NaN
node_41,node_1,NaN
node_42,node_1,NaN
node_43,node_1,NaN
node_44,node_1,NaN
node_45,node_1,NaN
node_46,node_1,NaN
node_47,node_1,NaN
node_48,node_1,NaN
node_49,node_1,NaN
node_50,node_1,NaN
node_51,node_1,NaN
node_52,node_1,NaN
node_53,node_1,NaN
node_54,node_1,NaN
node_55,node_1,NaN
node_56,node_1,NaN
node_57,node_1,NaN
node_58,node_1,NaN
node_59,node_1,NaN
node_60,node_1,NaN
node_61,node_1,NaN
node_62,node_1,NaN
node_63,node_1,NaN
node_64,node_1,NaN
node_65,node_1,NaN
node_66,node_1,NaN
node_67,node_1,NaN
node_68,node_1,NaN
node_69,node_1,NaN
node_70,node_1,NaN
node_71,node_1,NaN
node_72,node_1,NaN
node_73,node_1,NaN
node_74,node_1,NaN
node_75,node_1,NaN
node_76,node_1,NaN
node_77,node_1,NaN
node_78,node_1,NaN
node_79,node_1,NaN
node_80,node_1,NaN
node_81,node_1,NaN
node_82,node_1,NaN
node_83,node_1,NaN
node_84,node_1,NaN
node_85,node_1,NaN
node_86,node_1,NaN
node_87,node_1,NaN
node_88,node_1,NaN
node_89,node_1,NaN
node_90,node_1,NaN
node_91,node_1,NaN
node_92,node_1,NaN
node_93,node_1,NaN
node_94,node_1,NaN
node_95,node_1,NaN
node_96,node_1,NaN
node_97,node_1,NaN
node_98,node_1,NaN
node_99,node_1,NaN
node_100,node_1,NaN
node_101,node_1,NaN
node_102,node_1,NaN
node_103,node_1,NaN
node_104,node_1,NaN
node_105,node_1,NaN
node_106,node_1,NaN
node_107,node_1,NaN
node_108,node_1,NaN
node_109,node_1,NaN
node_110,node_1,NaN
node_111,node_1,NaN
node_112,node_1,NaN
node_113,node_1,NaN
node_114,node_1,NaN
node_115,node_1,NaN
node_116,node_1,NaN
node_117,node_1,NaN
node_118,node_1,NaN
node_119,node_1,NaN
node_120,node_1,NaN
node_121,node_1,NaN
node_122,node_1,NaN
node_123,node_1,NaN
node_124,node_1,NaN
node_125,node_1,NaN
node_126,node_1,NaN
node_127,node_1,NaN
node_128,node_1,NaN
node_129,node_1,NaN
node_130,node_1,NaN
node_131,node_1,NaN
node_132,node_1,NaN
node_133,node_1,NaN
node_134,node_1,NaN
node_135,node_1,NaN
node_136,node_1,NaN
node_137,node_1,NaN
node_138,node_1,NaN
node_139,node_1,NaN
node_140,node_1,NaN
node_141,node_1,NaN
node_142,node_1,NaN
node_143,node_1,NaN
node_144,node_1,NaN
node_145,node_1,NaN
node_146,node_1,NaN
node_147,node_1,NaN
node_148,node_1,NaN
node_149,node_1,NaN
node_150,node_1,NaN
node_151,node_1,NaN
node_152,node_1,NaN
node_153,node_1,NaN
node_154,node_1,NaN
node_155,node_1,NaN
node_156,node_1,NaN
node_157,node_1,NaN
node_158,node_1,NaN
node_159,node_1,NaN
node_160,node_1,NaN
node_161,node_1,NaN
node_162,node_1,NaN
node_163,node_1,NaN
node_164,node_1,NaN
node_165,node_1,NaN
node_166,node_1,NaN
node_167,node_1,NaN
node_168,node_1,NaN
node_169,node_1,NaN
node_170,node_1,NaN
node_171,node_1,NaN
node_172,node_1,NaN
node_173,node_1,NaN
node_174,node_1,NaN
node_175,node_1,NaN
node_176,node_1,NaN
node_177,node_1,NaN
node_178,node_1,NaN
node_179,node_1,NaN
node_180,node_1,NaN
node_181,node_1,NaN
node_182,node_1,NaN
node_183,node_1,NaN
node_184,node_1,NaN
node_185,node_1,NaN
node_186,node_1,NaN
node_187,node_1,NaN
node_188,node_1,NaN
node_189,node_1,NaN
node_190,node_1,NaN
node_191,node_1,NaN
node_192,node_1,NaN
node_193,node_1,NaN
node_194,node_1,NaN
node_195,node_1,NaN
node_196,node_1,NaN
node_197,node_1,NaN
node_198,node_1,NaN
node_199,node_1,NaN
node_200,node_1,NaN
node_201,node_1,NaN
node_202,node_1,NaN
node_203,node_1,NaN
node_204,node_1,NaN
node_205,node_1,NaN
node_206,node_1,NaN
node_207,node_1,NaN
node_208,node_1,NaN
node_209,node_1,NaN
node_210,node_1,NaN
node_211,node_1,NaN
node_212,node_1,NaN
node_213,node_1,NaN
node_214,node_1,NaN
node_215,node_1,NaN
node_216,node_1,NaN
node_217,node_1,NaN
node_218,node_1,NaN
node_219,node_1,NaN
node_220,node_1,NaN
node_221,node_1,NaN
node_222,node_1,NaN
node_223,node_1,NaN
node_224,node_1,NaN
node_225,node_1,NaN
node_226,node_1,NaN
node_227,node_1,NaN
node_228,node_1,NaN
node_229,node_1,NaN
node_230,node_1,NaN
node_231,node_1,NaN
node_232,node_1,NaN
node_233,node_1,NaN
node_234,node_1,NaN
node_235,node_1,NaN
node_236,node_1,NaN
node_237,node_1,NaN
node_238,node_1,NaN
node_239,node_1,NaN
node_240,node_1,NaN
node_1,node_2,0.514694076520465
node_2,node_2,NaN
node_3,node_2,NaN
node_4,node_2,NaN
node_5,node_2,NaN
node_6,node_2,NaN
node_7,node_2,NaN
node_8,node_2,NaN
node_9,node_2,NaN
node_10,node_2,NaN
node_11,node_2,NaN
node_12,node_2,NaN
node_13,node_2,NaN
node_14,node_2,NaN
node_15,node_2,NaN
node_16,node_2,NaN
node_17,node_2,NaN
node_18,node_2,NaN
node_19,node_2,NaN
node_20,node_2,NaN
node_21,node_2,NaN
node_22,node_2,NaN
node_23,node_2,NaN
node_24,node_2,NaN
node_25,node_2,NaN
node_26,node_2,NaN
node_27,node_2,NaN
node_28,node_2,NaN
node_29,node_2,NaN
node_30,node_2,NaN
node_31,node_2,NaN
node_32,node_2,NaN
node_33,node_2,NaN
node_34,node_2,NaN
node_35,node_2,NaN
node_36,node_2,NaN
node_37,node_2,NaN
node_38,node_2,NaN
node_39,node_2,NaN
node_40,node_2,NaN
node_41,node_2,NaN
node_42,node_2,NaN
node_43,node_2,NaN
node_44,node_2,NaN
node_45,node_2,NaN
node_46,node_2,NaN
node_47,node_2,NaN
node_48,node_2,NaN
node_49,node_2,NaN
node_50,node_2,NaN
node_51,node_2,NaN
node_52,node_2,NaN
node_53,node_2,NaN
node_54,node_2,NaN
node_55,node_2,NaN
node_56,node_2,NaN
node_57,node_2,NaN
node_58,node_2,NaN
node_59,node_2,NaN
node_60,node_2,NaN
node_61,node_2,NaN
node_62,node_2,NaN
node_63,node_2,NaN
node_64,node_2,NaN
node_65,node_2,NaN
node_66,node_2,NaN
node_67,node_2,NaN
node_68,node_2,NaN
node_69,node_2,NaN
node_70,node_2,NaN
node_71,node_2,NaN
node_72,node_2,NaN
node_73,node_2,NaN
node_74,node_2,NaN
node_75,node_2,NaN
node_76,node_2,NaN
node_77,node_2,NaN
node_78,node_2,NaN
node_79,node_2,NaN
node_80,node_2,NaN
node_81,node_2,NaN
node_82,node_2,NaN
node_83,node_2,NaN
node_84,node_2,NaN
node_85,node_2,NaN
node_86,node_2,NaN
node_87,node_2,NaN
node_88,node_2,NaN
node_89,node_2,NaN
node_90,node_2,NaN
node_91,node_2,NaN
node_92,node_2,NaN
node_93,node_2,NaN
node_94,node_2,NaN
node_95,node_2,NaN
node_96,node_2,NaN
node_97,node_2,NaN
node_98,node_2,NaN
node_99,node_2,NaN
node_100,node_2,NaN
node_101,node_2,NaN
node_102,node_2,NaN
node_103,node_2,NaN
node_104,node_2,NaN
node_105,node_2,NaN
node_106,node_2,NaN
node_107,node_2,NaN
node_108,node_2,NaN
node_109,node_2,NaN
node_110,node_2,NaN
node_111,node_2,NaN
node_112,node_2,NaN
node_113,node_2,NaN
node_114,node_2,NaN
node_115,node_2,NaN
node_116,node_2,NaN
node_117,node_2,NaN
node_118,node_2,NaN
node_119,node_2,NaN
node_120,node_2,NaN
node_121,node_2,NaN
node_122,node_2,NaN
node_123,node_2,NaN
node_124,node_2,NaN
node_125,node_2,NaN
node_126,node_2,NaN
node_127,node_2,NaN
node_128,node_2,NaN
node_129,node_2,NaN
node_130,node_2,NaN
node_131,node_2,NaN
node_132,node_2,NaN
node_133,node_2,NaN
node_134,node_2,NaN
node_135,node_2,NaN
node_136,node_2,NaN
node_137,node_2,NaN
node_138,node_2,NaN
node_139,node_2,NaN
node_140,node_2,NaN
node_141,node_2,NaN
node_142,node_2,NaN
node_143,node_2,NaN
node_144,node_2,NaN
node_145,node_2,NaN
node_146,node_2,NaN
node_147,node_2,NaN
node_148,node_2,NaN
node_149,node_2,NaN
node_150,node_2,NaN
node_151,node_2,NaN
node_152,node_2,NaN
node_153,node_2,NaN
node_154,node_2,NaN
node_155,node_2,NaN
node_156,node_2,NaN
node_157,node_2,NaN
node_158,node_2,NaN
node_159,node_2,NaN
node_160,node_2,NaN
node_161,node_2,NaN
node_162,node_2,NaN
node_163,node_2,NaN
node_164,node_2,NaN
node_165,node_2,NaN
node_166,node_2,NaN
node_167,node_2,NaN
node_168,node_2,NaN
node_169,node_2,NaN
node_170,node_2,NaN
node_171,node_2,NaN
node_172,node_2,NaN
node_173,node_2,NaN
node_174,node_2,NaN
node_175,node_2,NaN
node_176,node_2,NaN
node_177,node_2,NaN
node_178,node_2,NaN
node_179,node_2,NaN
node_180,node_2,NaN
node_181,node_2,NaN
node_182,node_2,NaN
node_183,node_2,NaN
node_184,node_2,NaN
node_185,node_2,NaN
node_186,node_2,NaN
node_187,node_2,NaN
node_188,node_2,NaN
node_189,node_2,NaN
node_190,node_2,NaN
node_191,node_2,NaN
node_192,node_2,NaN
node_193,node_2,NaN
node_194,node_2,NaN
node_195,node_2,NaN
node_196,node_2,NaN
node_197,node_2,NaN
node_198,node_2,NaN
node_199,node_2,NaN
node_200,node_2,NaN
node_201,node_2,NaN
node_202,node_2,NaN
node_203,node_2,NaN
node_204,node_2,NaN
node_205,node_2,NaN
node_206,node_2,NaN
node_207,node_2,NaN
node_208,node_2,NaN
node_209,node_2,NaN
node_210,node_2,NaN
node_211,node_2,NaN
node_212,node_2,NaN
node_213,node_2,NaN
node_214,node_2,NaN
node_215,node_2,NaN
node_216,node_2,NaN
node_217,node_2,NaN
node_218,node_2,NaN
node_219,node_2,NaN
node_220,node_2,NaN
node_221,node_2,NaN
node_222,node_2,NaN
node_223,node_2,NaN
node_224,node_2,NaN
node_225,node_2,NaN
node_226,node_2,NaN
node_227,node_2,NaN
node_228,node_2,NaN
node_229,node_2,NaN
node_230,node_2,NaN
node_231,node_2,NaN
node_232,node_2,NaN
node_233,node_2,NaN
node_234,node_2,NaN
