from,to,value
node_5,node_23,0.449784186094494
node_13,node_23,0.546954618723971
node_15,node_23,0.494874885120983
node_16,node_23,0.459836652507744
node_18,node_23,0.475155840955099
node_13,node_24,0.619050713224013
node_15,node_24,0.475965649366274
node_18,node_24,0.506272358127259
node_23,node_24,0.647449703924077
node_23,node_25,0.554165688365567
node_24,node_25,0.591075028450336
node_13,node_26,0.506169474113769
node_14,node_26,0.499162635066047
node_18,node_26,0.465160573768158
node_23,node_26,0.549990897766588
node_24,node_26,0.58202978740979
node_1,node_27,0.44851911266428
node_5,node_27,0.512014538828384
node_6,node_27,0.487405856318741
node_10,node_27,0.540961061251413
node_11,node_27,0.448692667666829
node_12,node_27,0.51895417388531
node_13,node_27,0.620328985261086
node_14,node_27,0.520548108823735
node_15,node_27,0.452281829341183
node_16,node_27,0.480754993590962
node_18,node_27,0.468630131225866
node_20,node_27,0.537530509071583
node_22,node_27,0.498569369985636
node_23,node_27,0.642157997308018
node_24,node_27,0.622511766793664
node_25,node_27,0.59199043029809
node_26,node_27,0.595433059144587
node_6,node_28,0.470345493843487
node_23,node_28,0.631503309946347
node_24,node_28,0.592179601389969
node_25,node_28,0.468778313127051
node_26,node_28,0.499162635066047
node_27,node_28,0.563170956235046
node_27,node_31,0.468364397330187
node_23,node_32,0.493552134703163
node_24,node_32,0.46266729377699
node_27,node_32,0.566065745277235
node_13,node_35,0.503320896210934
node_23,node_35,0.560735506998221
node_24,node_35,0.621462252240061
node_26,node_35,0.481293067898969
node_27,node_35,0.557907202646515
node_28,node_35,0.483170588668158
node_23,node_36,0.581922318021595
node_24,node_36,0.622511766793664
node_26,node_36,0.446320544091685
node_27,node_36,0.598425319091716
node_23,node_37,0.488649713036358
node_27,node_37,0.598859359634321
node_1,node_39,0.444802195206831
node_3,node_39,0.50688897068245
node_4,node_39,0.556141706707236
node_5,node_39,0.526735182973728
node_6,node_39,0.479760752128616
node_11,node_39,0.538945992168169
node_12,node_39,0.45547874182427
node_22,node_39,0.525836335482679
node_23,node_39,0.566075880871938
node_24,node_39,0.619110566239488
node_26,node_39,0.556865961113787
node_27,node_39,0.576499082020403
node_31,node_39,0.473418617139362
node_13,node_40,0.524335194081252
node_16,node_40,0.450541792294316
node_23,node_40,0.527880285034144
node_24,node_40,0.595777205141339
node_27,node_40,0.611740054318959
node_28,node_40,0.490780453126337
node_35,node_40,0.458280336364884
node_39,node_40,0.45553578633654
node_23,node_41,0.452796149728404
node_39,node_41,0.530971650604502
node_5,node_42,0.462788185948071
node_6,node_42,0.483306927182934
node_10,node_42,0.46666462291342
node_11,node_42,0.468489184989771
node_15,node_42,0.465256369658089
node_16,node_42,0.490254180774096
node_18,node_42,0.474889273546575
node_23,node_42,0.605701896335061
node_24,node_42,0.586063224703168
node_25,node_42,0.609357696170348
node_26,node_42,0.621462252240061
node_27,node_42,0.583175499192927
node_28,node_42,0.517925632371977
node_31,node_42,0.501074355352027
node_32,node_42,0.629604811703249
node_35,node_42,0.521902108962927
node_36,node_42,0.632518891326363
node_39,node_42,0.640691571643378
node_40,node_42,0.558471375427914
node_41,node_42,0.514958738331067
node_6,node_43,0.488549745415551
node_13,node_43,0.587691588140153
node_15,node_43,0.592576574110659
node_16,node_43,0.452453272474544
node_18,node_43,0.470762984544586
node_23,node_43,0.631576684021151
node_24,node_43,0.545655172407811
node_25,node_43,0.62311004050033
node_26,node_43,0.621462252240061
node_27,node_43,0.60823920628654
node_28,node_43,0.620595273124949
node_32,node_43,0.601078770378764
node_33,node_43,0.522946247541983
node_35,node_43,0.517676906324471
node_36,node_43,0.65727050298805
node_37,node_43,0.509530624909403
node_39,node_43,0.616984921036183
node_40,node_43,0.636510934977807
node_42,node_43,0.586063224703168
node_23,node_44,0.479140778239665
node_26,node_44,0.463001214268872
node_27,node_44,0.593929176774658
node_35,node_44,0.468402612467919
node_40,node_44,0.529467957412988
node_43,node_44,0.476819922943473
node_23,node_45,0.599373293050363
node_24,node_45,0.593908301009539
node_27,node_45,0.652495749428891
node_36,node_45,0.547353692177331
node_39,node_45,0.483994934762332
node_40,node_45,0.575267843664853
node_41,node_45,0.478727713460343
node_42,node_45,0.602693085828151
node_43,node_45,0.599719277558764
node_23,node_47,0.456209942340259
node_24,node_47,0.532865314777263
node_27,node_47,0.533079157801912
node_28,node_47,0.471120952606037
node_42,node_47,0.590599860370004
node_43,node_47,0.555969362521501
node_5,node_48,0.492158472180087
node_6,node_48,0.532892942405967
node_15,node_48,0.548852131518002
node_16,node_48,0.455409796002259
node_17,node_48,0.480500321093486
node_20,node_48,0.50480687409565
node_23,node_48,0.608102530254616
node_24,node_48,0.555169654944393
node_25,node_48,0.465648938331765
node_27,node_48,0.61006965959898
node_28,node_48,0.585589271974347
node_32,node_48,0.513421211314964
node_36,node_48,0.643050566577358
node_37,node_48,0.476960278154227
node_39,node_48,0.544093413219386
node_40,node_48,0.571965258906477
node_42,node_48,0.556037301977401
node_44,node_48,0.535157239919769
node_6,node_49,0.57708016654383
node_11,node_49,0.542653671966959
node_15,node_49,0.544513992205428
node_16,node_49,0.528093637105941
node_18,node_49,0.476211767232622
node_20,node_49,0.526657189736103
node_23,node_49,0.644662443208319
node_24,node_49,0.545655172407811
node_25,node_49,0.558804664242103
node_26,node_49,0.59848200704513
node_27,node_49,0.638191690588345
node_28,node_49,0.616026928160711
node_32,node_49,0.574825016762772
node_35,node_49,0.537483360041893
node_36,node_49,0.655624572056602
node_38,node_49,0.453355397074042
node_39,node_49,0.486552502250423
node_40,node_49,0.598097159714762
node_41,node_49,0.493320677108749
node_42,node_49,0.610906884212977
node_43,node_49,0.528931014478686
node_45,node_49,0.512652062932407
node_47,node_49,0.55805287755594
node_48,node_49,0.492535365007188
node_23,node_50,0.517557003860302
node_23,node_51,0.449856449231984
node_28,node_51,0.532042776033313
node_36,node_51,0.572648456039033
node_39,node_51,0.558589576355207
node_42,node_51,0.495223311955884
node_39,node_52,0.559061752746283
node_42,node_52,0.527918579215976
node_48,node_52,0.49375446824506
node_27,node_58,0.556786687461654
node_43,node_58,0.585155269784754
node_49,node_58,0.463873099545608
node_23,node_59,0.518851563540911
node_27,node_59,0.565107005017316
node_28,node_59,0.47029211831922
node_39,node_59,0.520929716567607
node_43,node_59,0.631656031428214
node_23,node_60,0.563247438020607
node_24,node_60,0.645661859703879
node_26,node_60,0.446320544091685
node_27,node_60,0.611223744501365
node_41,node_60,0.455206505415353
node_42,node_60,0.595291970360215
node_43,node_60,0.62309927186254
node_48,node_60,0.591415397516867
node_49,node_60,0.616365234914302
node_51,node_60,0.456914734409111
node_6,node_61,0.549244810031491
node_12,node_61,0.461195145457993
node_23,node_61,0.638576978385241
node_24,node_61,0.60896548994471
node_25,node_61,0.567216644982346
node_26,node_61,0.584173864735235
node_27,node_61,0.671255051843914
node_28,node_61,0.451700820267356
node_32,node_61,0.456013253027706
node_35,node_61,0.460958931821025
node_40,node_61,0.595435268485662
node_42,node_61,0.624342965994218
node_43,node_61,0.59795147206008
node_49,node_61,0.55810711053904
node_51,node_61,0.545340265775801
node_52,node_61,0.493238210235557
node_5,node_62,0.517632898227906
node_6,node_62,0.543365399457335
node_10,node_62,0.541902712549181
node_11,node_62,0.524393314562627
node_15,node_62,0.542512379384357
node_16,node_62,0.532807675157266
node_17,node_62,0.463728547353459
node_19,node_62,0.511745349125018
node_20,node_62,0.552535041881998
node_23,node_62,0.610116934990701
node_24,node_62,0.507923991260983
node_25,node_62,0.590147189981876
node_26,node_62,0.53816896254127
node_27,node_62,0.63112249127797
node_28,node_62,0.588348766854021
node_31,node_62,0.461167291845771
node_32,node_62,0.59429865448963
node_33,node_62,0.569210999294502
node_35,node_62,0.539165511513215
node_36,node_62,0.635048846633945
node_37,node_62,0.46916317512687
node_39,node_62,0.586659735225509
node_40,node_62,0.580192238697517
node_41,node_62,0.483856564378189
node_42,node_62,0.601324318037017
node_43,node_62,0.548378674149968
node_44,node_62,0.541045311006949
node_45,node_62,0.500239191197176
node_47,node_62,0.607918609506258
node_49,node_62,0.577486590892754
node_58,node_62,0.558781199759542
node_59,node_62,0.53015601968152
node_60,node_62,0.628333316302503
node_61,node_62,0.544969010774092
node_4,node_63,0.454857776992858
node_5,node_63,0.638167464353173
node_6,node_63,0.574617183088248
node_11,node_63,0.504730820411655
node_12,node_63,0.594134030377743
node_13,node_63,0.516246841501668
node_15,node_63,0.504532648793883
node_16,node_63,0.511771448512742
node_17,node_63,0.482841001508208
node_18,node_63,0.513384391095277
node_23,node_63,0.664013973094538
node_24,node_63,0.610942393114539
node_25,node_63,0.644247632711772
node_26,node_63,0.635507678574215
node_27,node_63,0.649478973792927
node_28,node_63,0.599557617905556
node_32,node_63,0.631484866717383
node_33,node_63,0.499344852574109
node_35,node_63,0.502047364014569
node_36,node_63,0.65091945937956
node_38,node_63,0.525462142243536
node_39,node_63,0.476742219444775
node_40,node_63,0.637216645476825
node_41,node_63,0.489050570529937
node_42,node_63,0.583057578860516
node_43,node_63,0.568330036418917
node_45,node_63,0.544969010774092
node_48,node_63,0.563702725003749
node_49,node_63,0.545085949766641
node_50,node_63,0.500239191197176
